[epoch: 1, iter:     1] loss: 0.04294
, loss_inr: 0.00000[epoch: 1, iter:    11] loss: 0.42889
, loss_inr: 0.00000[epoch: 1, iter:    21] loss: 0.42526
, loss_inr: 0.00000[epoch: 1, iter:    31] loss: 0.41867
, loss_inr: 0.00000[epoch: 1, iter:    41] loss: 0.40847
, loss_inr: 0.00000[epoch: 1, iter:    51] loss: 0.39487
, loss_inr: 0.00000[epoch: 1, iter:    61] loss: 0.37852
, loss_inr: 0.00000[epoch: 1, iter:    71] loss: 0.35978
, loss_inr: 0.00000[epoch: 1, iter:    81] loss: 0.33876
, loss_inr: 0.00000[epoch: 1, iter:    91] loss: 0.31540
, loss_inr: 0.00000[epoch: 1, iter:   101] loss: 0.29107
, loss_inr: 0.00000[epoch: 1, iter:   111] loss: 0.26561
, loss_inr: 0.00000[epoch: 1, iter:   121] loss: 0.23951
, loss_inr: 0.00000[epoch: 1, iter:   131] loss: 0.21372
, loss_inr: 0.00000[epoch: 1, iter:   141] loss: 0.18869
, loss_inr: 0.00000[epoch: 1, iter:   151] loss: 0.16495
, loss_inr: 0.00000[epoch: 1, iter:   161] loss: 0.14314
, loss_inr: 0.00000[epoch: 1, iter:   171] loss: 0.12346
, loss_inr: 0.00000[epoch: 1, iter:   181] loss: 0.10627
, loss_inr: 0.00000[epoch: 1, iter:   191] loss: 0.09127
, loss_inr: 0.00000[epoch: 1, iter:   201] loss: 0.07899
, loss_inr: 0.00000[epoch: 1, iter:   211] loss: 0.06869
, loss_inr: 0.00000[epoch: 1, iter:   221] loss: 0.06056
, loss_inr: 0.00000[epoch: 1, iter:   231] loss: 0.05404
, loss_inr: 0.00000[epoch: 1, iter:   241] loss: 0.04871
, loss_inr: 0.00000[epoch: 1, iter:   251] loss: 0.04466
, loss_inr: 0.00000[epoch: 1, iter:   261] loss: 0.04156
, loss_inr: 0.00000[epoch: 1, iter:   271] loss: 0.03892
, loss_inr: 0.00000[epoch: 1, iter:   281] loss: 0.03708
, loss_inr: 0.00000[epoch: 1, iter:   291] loss: 0.03577
, loss_inr: 0.00000[epoch: 1, iter:   301] loss: 0.03466
, loss_inr: 0.00000[epoch: 1, iter:   311] loss: 0.03365
, loss_inr: 0.00000[epoch: 1, iter:   321] loss: 0.03313
, loss_inr: 0.00000[epoch: 1, iter:   331] loss: 0.03268
, loss_inr: 0.00000[epoch: 1, iter:   341] loss: 0.03225
, loss_inr: 0.00000[epoch: 1, iter:   351] loss: 0.03196
, loss_inr: 0.00000[epoch: 1, iter:   361] loss: 0.03157
, loss_inr: 0.00000[epoch: 1, iter:   371] loss: 0.03139
, loss_inr: 0.00000[epoch: 1, iter:   381] loss: 0.03120
, loss_inr: 0.00000[epoch: 1, iter:   391] loss: 0.03111
, loss_inr: 0.00000[epoch: 1, iter:   401] loss: 0.03101
, loss_inr: 0.00000[epoch: 1, iter:   411] loss: 0.03064
, loss_inr: 0.00000[epoch: 1, iter:   421] loss: 0.03063
, loss_inr: 0.00000[epoch: 1, iter:   431] loss: 0.03025
, loss_inr: 0.00000[epoch: 1, iter:   441] loss: 0.02964
, loss_inr: 0.00000[epoch: 1, iter:   451] loss: 0.02894
, loss_inr: 0.00000[epoch: 1, iter:   461] loss: 0.02852
, loss_inr: 0.00000[epoch: 1, iter:   471] loss: 0.02768
, loss_inr: 0.00000[epoch: 1, iter:   481] loss: 0.02693
, loss_inr: 0.00000[epoch: 1, iter:   491] loss: 0.02646
, loss_inr: 0.00000[epoch: 1, iter:   501] loss: 0.02578
, loss_inr: 0.00000[epoch: 1, iter:   511] loss: 0.02526
, loss_inr: 0.00000[epoch: 1, iter:   521] loss: 0.02487
, loss_inr: 0.00000[epoch: 1, iter:   531] loss: 0.02453
, loss_inr: 0.00000[epoch: 1, iter:   541] loss: 0.02407
, loss_inr: 0.00000[epoch: 1, iter:   551] loss: 0.02370
, loss_inr: 0.00000[epoch: 1, iter:   561] loss: 0.02354
, loss_inr: 0.00000[1] val PSNR: 27.599
[epoch: 2, iter:     1] loss: 0.00235
, loss_inr: 0.00000[epoch: 2, iter:    11] loss: 0.02329
, loss_inr: 0.00000[epoch: 2, iter:    21] loss: 0.02305
, loss_inr: 0.00000[epoch: 2, iter:    31] loss: 0.02282
, loss_inr: 0.00000[epoch: 2, iter:    41] loss: 0.02255
, loss_inr: 0.00000[epoch: 2, iter:    51] loss: 0.02248
, loss_inr: 0.00000[epoch: 2, iter:    61] loss: 0.02232
, loss_inr: 0.00000[epoch: 2, iter:    71] loss: 0.02218
, loss_inr: 0.00000[epoch: 2, iter:    81] loss: 0.02203
, loss_inr: 0.00000[epoch: 2, iter:    91] loss: 0.02192
, loss_inr: 0.00000[epoch: 2, iter:   101] loss: 0.02181
, loss_inr: 0.00000[epoch: 2, iter:   111] loss: 0.02171
, loss_inr: 0.00000[epoch: 2, iter:   121] loss: 0.02163
, loss_inr: 0.00000[epoch: 2, iter:   131] loss: 0.02149
, loss_inr: 0.00000[epoch: 2, iter:   141] loss: 0.02136
, loss_inr: 0.00000[epoch: 2, iter:   151] loss: 0.02132
, loss_inr: 0.00000[epoch: 2, iter:   161] loss: 0.02125
, loss_inr: 0.00000[epoch: 2, iter:   171] loss: 0.02116
, loss_inr: 0.00000[epoch: 2, iter:   181] loss: 0.02113
, loss_inr: 0.00000[epoch: 2, iter:   191] loss: 0.02102
, loss_inr: 0.00000[epoch: 2, iter:   201] loss: 0.02098
, loss_inr: 0.00000[epoch: 2, iter:   211] loss: 0.02087
, loss_inr: 0.00000[epoch: 2, iter:   221] loss: 0.02079
, loss_inr: 0.00000[epoch: 2, iter:   231] loss: 0.02083
, loss_inr: 0.00000[epoch: 2, iter:   241] loss: 0.02081
, loss_inr: 0.00000[epoch: 2, iter:   251] loss: 0.02075
, loss_inr: 0.00000[epoch: 2, iter:   261] loss: 0.02062
, loss_inr: 0.00000[epoch: 2, iter:   271] loss: 0.02063
, loss_inr: 0.00000[epoch: 2, iter:   281] loss: 0.02053
, loss_inr: 0.00000[epoch: 2, iter:   291] loss: 0.02049
, loss_inr: 0.00000[epoch: 2, iter:   301] loss: 0.02045
, loss_inr: 0.00000[epoch: 2, iter:   311] loss: 0.02037
, loss_inr: 0.00000[epoch: 2, iter:   321] loss: 0.02033
, loss_inr: 0.00000[epoch: 2, iter:   331] loss: 0.02032
, loss_inr: 0.00000[epoch: 2, iter:   341] loss: 0.02028
, loss_inr: 0.00000[epoch: 2, iter:   351] loss: 0.02031
, loss_inr: 0.00000[epoch: 2, iter:   361] loss: 0.02025
, loss_inr: 0.00000[epoch: 2, iter:   371] loss: 0.02026
, loss_inr: 0.00000[epoch: 2, iter:   381] loss: 0.02020
, loss_inr: 0.00000[epoch: 2, iter:   391] loss: 0.02012
, loss_inr: 0.00000[epoch: 2, iter:   401] loss: 0.02013
, loss_inr: 0.00000[epoch: 2, iter:   411] loss: 0.02009
, loss_inr: 0.00000[epoch: 2, iter:   421] loss: 0.02004
, loss_inr: 0.00000[epoch: 2, iter:   431] loss: 0.02011
, loss_inr: 0.00000[epoch: 2, iter:   441] loss: 0.02011
, loss_inr: 0.00000[epoch: 2, iter:   451] loss: 0.01999
, loss_inr: 0.00000[epoch: 2, iter:   461] loss: 0.01996
, loss_inr: 0.00000[epoch: 2, iter:   471] loss: 0.01994
, loss_inr: 0.00000[epoch: 2, iter:   481] loss: 0.01993
, loss_inr: 0.00000[epoch: 2, iter:   491] loss: 0.01996
, loss_inr: 0.00000[epoch: 2, iter:   501] loss: 0.01993
, loss_inr: 0.00000[epoch: 2, iter:   511] loss: 0.01987
, loss_inr: 0.00000[epoch: 2, iter:   521] loss: 0.01986
, loss_inr: 0.00000[epoch: 2, iter:   531] loss: 0.01982
, loss_inr: 0.00000[epoch: 2, iter:   541] loss: 0.01984
, loss_inr: 0.00000[epoch: 2, iter:   551] loss: 0.01985
, loss_inr: 0.00000[epoch: 2, iter:   561] loss: 0.01981
, loss_inr: 0.00000[2] val PSNR: 29.730
[epoch: 3, iter:     1] loss: 0.00198
, loss_inr: 0.00000[epoch: 3, iter:    11] loss: 0.01977
, loss_inr: 0.00000[epoch: 3, iter:    21] loss: 0.01978
, loss_inr: 0.00000[epoch: 3, iter:    31] loss: 0.01974
, loss_inr: 0.00000[epoch: 3, iter:    41] loss: 0.01976
, loss_inr: 0.00000[epoch: 3, iter:    51] loss: 0.01974
, loss_inr: 0.00000[epoch: 3, iter:    61] loss: 0.01970
, loss_inr: 0.00000[epoch: 3, iter:    71] loss: 0.01967
, loss_inr: 0.00000[epoch: 3, iter:    81] loss: 0.01965
, loss_inr: 0.00000[epoch: 3, iter:    91] loss: 0.01964
, loss_inr: 0.00000[epoch: 3, iter:   101] loss: 0.01960
, loss_inr: 0.00000[epoch: 3, iter:   111] loss: 0.01962
, loss_inr: 0.00000[epoch: 3, iter:   121] loss: 0.01963
, loss_inr: 0.00000[epoch: 3, iter:   131] loss: 0.01960
, loss_inr: 0.00000[epoch: 3, iter:   141] loss: 0.01947
, loss_inr: 0.00000[epoch: 3, iter:   151] loss: 0.01951
, loss_inr: 0.00000[epoch: 3, iter:   161] loss: 0.01954
, loss_inr: 0.00000[epoch: 3, iter:   171] loss: 0.01949
, loss_inr: 0.00000[epoch: 3, iter:   181] loss: 0.01944
, loss_inr: 0.00000[epoch: 3, iter:   191] loss: 0.01949
, loss_inr: 0.00000[epoch: 3, iter:   201] loss: 0.01949
, loss_inr: 0.00000[epoch: 3, iter:   211] loss: 0.01948
, loss_inr: 0.00000[epoch: 3, iter:   221] loss: 0.01945
, loss_inr: 0.00000[epoch: 3, iter:   231] loss: 0.01944
, loss_inr: 0.00000[epoch: 3, iter:   241] loss: 0.01941
, loss_inr: 0.00000[epoch: 3, iter:   251] loss: 0.01940
, loss_inr: 0.00000[epoch: 3, iter:   261] loss: 0.01937
, loss_inr: 0.00000[epoch: 3, iter:   271] loss: 0.01931
, loss_inr: 0.00000[epoch: 3, iter:   281] loss: 0.01931
, loss_inr: 0.00000[epoch: 3, iter:   291] loss: 0.01938
, loss_inr: 0.00000[epoch: 3, iter:   301] loss: 0.01935
, loss_inr: 0.00000[epoch: 3, iter:   311] loss: 0.01925
, loss_inr: 0.00000[epoch: 3, iter:   321] loss: 0.01924
, loss_inr: 0.00000[epoch: 3, iter:   331] loss: 0.01927
, loss_inr: 0.00000[epoch: 3, iter:   341] loss: 0.01919
, loss_inr: 0.00000[epoch: 3, iter:   351] loss: 0.01917
, loss_inr: 0.00000[epoch: 3, iter:   361] loss: 0.01919
, loss_inr: 0.00000[epoch: 3, iter:   371] loss: 0.01919
, loss_inr: 0.00000[epoch: 3, iter:   381] loss: 0.01917
, loss_inr: 0.00000[epoch: 3, iter:   391] loss: 0.01914
, loss_inr: 0.00000[epoch: 3, iter:   401] loss: 0.01913
, loss_inr: 0.00000[epoch: 3, iter:   411] loss: 0.01912
, loss_inr: 0.00000[epoch: 3, iter:   421] loss: 0.01911
, loss_inr: 0.00000[epoch: 3, iter:   431] loss: 0.01905
, loss_inr: 0.00000[epoch: 3, iter:   441] loss: 0.01907
, loss_inr: 0.00000[epoch: 3, iter:   451] loss: 0.01905
, loss_inr: 0.00000[epoch: 3, iter:   461] loss: 0.01899
, loss_inr: 0.00000[epoch: 3, iter:   471] loss: 0.01898
, loss_inr: 0.00000[epoch: 3, iter:   481] loss: 0.01900
, loss_inr: 0.00000[epoch: 3, iter:   491] loss: 0.01901
, loss_inr: 0.00000[epoch: 3, iter:   501] loss: 0.01897
, loss_inr: 0.00000[epoch: 3, iter:   511] loss: 0.01895
